dataset,model,test_mse,test_r2,train_mse,train_r2,train_time,params
autompg,linreg,0.234294129471167,0.783846724124653,0.1571447432785293,0.8348643319973554,0.000335693359375,
autompg,xgboost,0.17571889970687948,0.8378866090644932,0.06837885056449741,0.9281440350492202,0.012686967849731445,"subsample=0.5, random_state=49, n_estimators=171, max_depth=1"
autompg,gbmap,0.17772331973787442,0.8360373866494559,0.04160552372299855,0.9562788050732336,1.8673837184906006,"n_boosts=116, optim_maxiter=200, penalty_weight=0.00683276759974987, random_state=49, softplus_scale=18"
abalone,linreg,0.5066445266059535,0.5260490873030721,0.45736723167882287,0.5286210660288873,0.0005316734313964844,
abalone,xgboost,0.5103869493159178,0.5225481619679706,0.4227046668501121,0.5643455380197799,0.026064157485961914,"subsample=0.5, random_state=49, n_estimators=171, max_depth=1"
abalone,gbmap,0.46352222701904267,0.5663887182938998,0.36860657888521237,0.6201009513255529,2.0254509449005127,"n_boosts=116, optim_maxiter=200, penalty_weight=0.00683276759974987, random_state=49, softplus_scale=18"
