dataset,model,test_acc,test_pres,test_recall,train_acc,train_pres,train_recall,train_time,params
wines,logreg,0.9943589743589744,0.9875259875259875,0.9895833333333334,0.9942819441389927,0.9901345291479821,0.9865951742627346,0.007505178451538086,"C=30097.445585591457, max_iter=500, penalty=l2, random_state=49"
wines,xgboost,0.9958974358974358,0.9937238493723849,0.9895833333333334,0.9962612711678029,0.9937275985663082,0.9910634495084897,0.019687891006469727,"subsample=0.5, random_state=49, n_estimators=171, max_depth=1"
wines,gbmap,0.9974358974358974,0.9958246346555324,0.99375,0.9975808225203431,0.9982014388489209,0.9919571045576407,2.0875179767608643,"is_classifier=True, n_boosts=116, optim_maxiter=200, penalty_weight=0.00683276759974987, random_state=49, softplus_scale=18"
breast-cancer,logreg,0.9649122807017544,0.9809523809523809,0.9626168224299065,1.0,1.0,1.0,0.004714250564575195,"C=30097.445585591457, max_iter=500, penalty=l2, random_state=49"
breast-cancer,xgboost,0.9649122807017544,0.954954954954955,0.9906542056074766,1.0,1.0,1.0,0.03114008903503418,"subsample=0.5, random_state=49, n_estimators=171, max_depth=1"
breast-cancer,gbmap,0.9707602339181286,0.9811320754716981,0.9719626168224299,1.0,1.0,1.0,1.8194079399108887,"is_classifier=True, n_boosts=116, optim_maxiter=200, penalty_weight=0.00683276759974987, random_state=49, softplus_scale=18"
